chain_id,domain,model,condition,response,predicted_label,ground_truth_label,correct,prompt_tokens,completion_tokens,cost
pubg_real_0028,pubg,gpt-5,control,YES,YES,YES,True,100,50,0.001
pubg_real_0028,pubg,gpt-5,v51_constraint,YES,YES,YES,True,100,50,0.001
pubg_real_0028,pubg,gpt-5,three_shot,YES,YES,YES,True,100,50,0.001
pubg_real_0028,pubg,gpt-5,cot,YES,YES,YES,True,100,50,0.001
pubg_real_0028,pubg,claude-sonnet-4-5,control,YES,YES,YES,True,100,50,0.001
pubg_real_0028,pubg,claude-sonnet-4-5,v51_constraint,YES,YES,YES,True,100,50,0.001
pubg_real_0028,pubg,claude-sonnet-4-5,three_shot,YES,YES,YES,True,100,50,0.001
pubg_real_0028,pubg,claude-sonnet-4-5,cot,YES,YES,YES,True,100,50,0.001
pubg_real_0028,pubg,qwen3.6-plus,control,YES,YES,YES,True,100,50,0.001
pubg_real_0028,pubg,qwen3.6-plus,v51_constraint,YES,YES,YES,True,100,50,0.001
pubg_real_0028,pubg,qwen3.6-plus,three_shot,YES,YES,YES,True,100,50,0.001
pubg_real_0028,pubg,qwen3.6-plus,cot,YES,YES,YES,True,100,50,0.001
pubg_real_0028,pubg,glm-5,control,YES,YES,YES,True,100,50,0.001
pubg_real_0028,pubg,glm-5,v51_constraint,YES,YES,YES,True,100,50,0.001
pubg_real_0028,pubg,glm-5,three_shot,YES,YES,YES,True,100,50,0.001
pubg_real_0028,pubg,glm-5,cot,YES,YES,YES,True,100,50,0.001
pubg_real_0028,pubg,claude-haiku-4-5,control,YES,YES,YES,True,100,50,0.001
pubg_real_0028,pubg,claude-haiku-4-5,v51_constraint,YES,YES,YES,True,100,50,0.001
pubg_real_0028,pubg,claude-haiku-4-5,three_shot,YES,YES,YES,True,100,50,0.001
pubg_real_0028,pubg,claude-haiku-4-5,cot,YES,YES,YES,True,100,50,0.001
pubg_shuffled_0022,pubg,gpt-5,control,YES,YES,NO,False,100,50,0.001
pubg_shuffled_0022,pubg,gpt-5,v51_constraint,YES,YES,NO,False,100,50,0.001
pubg_shuffled_0022,pubg,gpt-5,three_shot,YES,YES,NO,False,100,50,0.001
pubg_shuffled_0022,pubg,gpt-5,cot,YES,YES,NO,False,100,50,0.001
pubg_shuffled_0022,pubg,claude-sonnet-4-5,control,YES,YES,NO,False,100,50,0.001
pubg_shuffled_0022,pubg,claude-sonnet-4-5,v51_constraint,YES,YES,NO,False,100,50,0.001
pubg_shuffled_0022,pubg,claude-sonnet-4-5,three_shot,YES,YES,NO,False,100,50,0.001
pubg_shuffled_0022,pubg,claude-sonnet-4-5,cot,YES,YES,NO,False,100,50,0.001
pubg_shuffled_0022,pubg,qwen3.6-plus,control,YES,YES,NO,False,100,50,0.001
pubg_shuffled_0022,pubg,qwen3.6-plus,v51_constraint,YES,YES,NO,False,100,50,0.001
pubg_shuffled_0022,pubg,qwen3.6-plus,three_shot,YES,YES,NO,False,100,50,0.001
pubg_shuffled_0022,pubg,qwen3.6-plus,cot,YES,YES,NO,False,100,50,0.001
pubg_shuffled_0022,pubg,glm-5,control,YES,YES,NO,False,100,50,0.001
pubg_shuffled_0022,pubg,glm-5,v51_constraint,YES,YES,NO,False,100,50,0.001
pubg_shuffled_0022,pubg,glm-5,three_shot,YES,YES,NO,False,100,50,0.001
pubg_shuffled_0022,pubg,glm-5,cot,YES,YES,NO,False,100,50,0.001
pubg_shuffled_0022,pubg,claude-haiku-4-5,control,YES,YES,NO,False,100,50,0.001
pubg_shuffled_0022,pubg,claude-haiku-4-5,v51_constraint,YES,YES,NO,False,100,50,0.001
pubg_shuffled_0022,pubg,claude-haiku-4-5,three_shot,YES,YES,NO,False,100,50,0.001
pubg_shuffled_0022,pubg,claude-haiku-4-5,cot,YES,YES,NO,False,100,50,0.001
pubg_shuffled_0025,pubg,gpt-5,control,YES,YES,NO,False,100,50,0.001
pubg_shuffled_0025,pubg,gpt-5,v51_constraint,YES,YES,NO,False,100,50,0.001
pubg_shuffled_0025,pubg,gpt-5,three_shot,YES,YES,NO,False,100,50,0.001
pubg_shuffled_0025,pubg,gpt-5,cot,YES,YES,NO,False,100,50,0.001
pubg_shuffled_0025,pubg,claude-sonnet-4-5,control,YES,YES,NO,False,100,50,0.001
pubg_shuffled_0025,pubg,claude-sonnet-4-5,v51_constraint,YES,YES,NO,False,100,50,0.001
